,S0,S1,S2,S3,AVG
210,107.0,298.0,441.0,180.0,256.0
211,108.0,299.0,440.0,180.0,256.0
212,107.0,299.0,439.0,182.0,256.0
213,106.0,299.0,439.0,183.0,256.0
214,106.0,299.0,439.0,182.0,256.0
215,107.0,299.0,439.0,180.0,256.0
216,106.0,299.0,439.0,180.0,256.0
217,106.0,299.0,439.0,182.0,256.0
218,106.0,300.0,439.0,183.0,257.0
219,105.0,300.0,439.0,183.0,256.0
220,105.0,300.0,440.0,181.0,256.0
221,105.0,300.0,439.0,178.0,255.0
222,106.0,300.0,440.0,178.0,256.0
223,106.0,301.0,440.0,182.0,257.0
224,105.0,301.0,441.0,184.0,257.0
225,104.0,301.0,441.0,181.0,256.0
226,105.0,301.0,440.0,179.0,256.0
227,102.0,301.0,440.0,178.0,255.0
228,103.0,302.0,440.0,180.0,256.0
229,103.0,302.0,441.0,180.0,256.0
230,105.0,304.0,442.0,177.0,257.0
231,105.0,302.0,442.0,172.0,255.0
232,106.0,303.0,441.0,167.0,254.0
233,105.0,303.0,442.0,165.0,253.0
234,105.0,303.0,442.0,167.0,254.0
235,105.0,304.0,442.0,170.0,255.0
236,104.0,303.0,443.0,172.0,255.0
237,106.0,304.0,442.0,170.0,255.0
238,106.0,303.0,442.0,166.0,254.0
239,106.0,303.0,443.0,161.0,253.0
240,107.0,303.0,443.0,160.0,253.0
241,106.0,303.0,443.0,164.0,254.0
242,107.0,304.0,443.0,169.0,255.0
243,107.0,311.0,442.0,168.0,257.0
244,108.0,311.0,443.0,164.0,256.0
245,108.0,312.0,445.0,162.0,256.0
246,108.0,312.0,445.0,163.0,257.0
247,108.0,317.0,445.0,166.0,259.0
248,109.0,315.0,444.0,167.0,258.0
249,110.0,311.0,443.0,165.0,257.0
250,110.0,311.0,444.0,163.0,257.0
251,107.0,311.0,445.0,162.0,256.0
252,105.0,309.0,444.0,161.0,254.0
253,105.0,309.0,443.0,160.0,254.0
254,105.0,310.0,444.0,158.0,254.0
255,105.0,310.0,444.0,155.0,253.0
256,106.0,311.0,445.0,153.0,253.0
257,105.0,310.0,444.0,151.0,252.0
258,104.0,310.0,443.0,153.0,252.0
259,105.0,311.0,442.0,155.0,253.0
